,city_id,City,Population,Lat,Long,Agents
0,31,Algona,3090,47.2791,122.2499,306
1,21,Ames Lake,1231,47.6329,121.9662,121
2,4,Beaux Arts Village,425,47.5853,122.2013,41
3,8,Bellevue,132268,47.6101,122.2015,13061
4,36,Black Diamond,4257,47.3087,122.0032,420
5,9,Burien,49291,47.4668,122.3405,4869
6,22,BurtonCarnation,1830,47.648234,121.90863,181
7,2,Clyde Hill,3097,47.6318,122.2179,305
8,30,Covington,18361,47.3596,122.118,1813
9,16,Des Moines,30403,47.4018,122.3243,3003
10,19,Eastgate,4958,47.5731,122.1354,489
11,24,Fairwood,27400,47.4431,122.1624,2705
12,26,Fall City,1958,47.5673,121.8887,194
13,32,Federal Way,91676,47.3223,122.3126,9054
14,17,Hobart,6548,47.4081,121.9949,649
15,0,Hunts Point,487,47.6434,122.2301,48
16,34,Issaquah,32551,47.5301,122.0326,3215
17,6,Kenmore,21263,47.7584,122.2497,2099
18,33,Kent,122620,47.378,122.23738,12109
19,28,Kingsgate,13065,47.7258,122.1755,1290
20,12,Kirkland,83320,47.6769,122.206,8227
21,7,Lake Forest Park,12938,47.7601,122.284,1277
22,18,Maple Valley,24040,47.3903,122.0454,2374
23,3,Medina,3080,47.6248,122.2361,304
24,5,Mercer Island,23636,47.5707,122.2221,2334
25,20,Newcastle,10792,47.5376,122.162,1067
26,10,Normandy Park,6491,47.4362,122.3407,641
27,27,PrestonRavensdale,980,47.5237,121.927,96
28,29,Redmond,56704,47.674,122.1215,5601
29,23,Renton,95479,47.4797,122.2079,9428
30,13,Riverton,6407,47.4958,122.3105,632
31,25,Sammamish,49077,47.6163,122.0356,4846
32,11,SeahurstSeatac,27606,47.44359,122.296073,2727
33,15,Tukwila,19573,47.4748,122.2726,1932
34,35,Vashon,10447,47.4473,122.4599,1031
35,14,White Center,14228,47.5086,122.3551,1405
36,1,Yarrow Point,1081,47.6462,122.2173,106
